           column_name column_type
0                 slug     VARCHAR
1               ticker     VARCHAR
2                 name     VARCHAR
3      market_cap_type     VARCHAR
4           market_cap      DOUBLE
5             pe_ratio      DOUBLE
6           day_change     VARCHAR
7             industry     VARCHAR
8           inst_accum      DOUBLE
9   volatility_squeeze      DOUBLE
10            qes_flag     INTEGER
11      tax_divergence      DOUBLE
12        pledge_delta      DOUBLE
13       absolute_data        JSON
14       relative_data        JSON
15            raw_rank      DOUBLE
16           rs_rating      DOUBLE
17  alpha_score_conservative      DOUBLE
18  alpha_score_moonshot      DOUBLE
19       shap_reason_1     VARCHAR
20       shap_reason_2     VARCHAR
21       shap_reason_3     VARCHAR
22 ml_confidence_conservative     VARCHAR
23 ml_confidence_moonshot     VARCHAR
